WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
0.37	3.32	5.9	0.74	1.61	5.73	0.334	0.298
0.37	2.46	9.55	1.91	2.04	4.86	0.274	0.241
0.36	6.33	4.13	0.52	1.65	4.62	0.311	0.286
0.34	2.81	4.94	1.07	1.63	4.97	0.312	0.294
0.29	2.44	6.7	1.83	1.84	6.1	0.285	0.272
0.28	3.28	6.46	1.45	1.63	5.79	0.338	0.305
0.25	3.28	6.15	1.4	1.71	4.7	0.341	0.311
0.25	3.28	6.15	1.4	1.71	4.7	0.341	0.311
0.25	3.28	6.15	1.4	1.71	4.7	0.341	0.311
0.23	3.5	3.0	1.0	1.65	4.23	0.318	0.319
0.22	5.06	4.78	0.84	1.77	4.95	0.298	0.276
0.22	3.21	4.89	1.35	1.78	5.22	0.335	0.319
0.19	4.92	6.86	1.26	2.0	5.98	0.389	0.344
0.05	4.37	4.71	1.15	1.76	4.69	0.346	0.323
-0.11	5.66	6.07	1.15	2.05	6.68	0.365	0.333
-0.15	3.69	6.41	1.55	1.66	6.73	0.374	0.34
-0.31	4.33	7.34	1.7	1.61	5.94	0.353	0.315
-0.56	3.44	3.06	1.27	1.64	7.29	0.387	0.379
-0.85	7.24	5.27	0.99	1.97	6.08	0.337	0.309
-0.85	7.24	5.27	0.99	1.97	6.08	0.337	0.309
-0.85	7.24	5.27	0.99	1.97	6.08	0.337	0.309
-0.87	4.07	5.06	2.22	1.82	6.11	0.3	0.303
-0.99	5.28	7.18	2.39	2.07	6.14	0.278	0.271
